Район;Объект;Площадь проезжей части, тыс. м2;Площадь тротуара, тыс. м2;Всего, тыс. м2;Стоимость, тыс. руб.
"КОЛПИНСКИЙ";"участок дороги на Металлострой от Центрального проезда до проходной НИИ электрофизической аппаратуры им. Д.В. Ефремова";"26";"0";"26";"21907,71"
"КОЛПИНСКИЙ";"Колпинская ул. от Загородной ул. до 1-й дороги (п. Понтонный)";"12,73";"0";"12,73";"11291,42"
"КОЛПИНСКИЙ";"Лагерное шоссе от Петрозаводского шоссе до Шлиссельбургского шоссе";"9,9";"0";"9,9";"8706,16"
"КОЛПИНСКИЙ";"Балканская дорога от Загородной ул. до Первомайской ул.";"20,73";"0";"20,73";"19894,06"
"КОЛПИНСКИЙ";"1-й проезд от Советского пр. до 6-го Проезда (пос. Металлострой)";"15,26";"2,7";"17,96";"19496,08"
"КОЛПИНСКИЙ";"проезд без названия (Дорога на ОАО "Домостроительный комбинат №5" от Колпинского шоссе до Финляндской ул.)";"7,06";"0,88";"7,94";"7592,89"
"КОЛПИНСКИЙ";"ул. Садовая от ул. Клубная до ул. Фанерная (п. Понтонный)";"1,48";"0,19";"1,67";"1489,02"
"КРАСНОГВАРДЕЙСКИЙ";"Пересечение Индустриального пр. и пр. Косыгина";"6,34";"0,59";"6,93";"8356,73"
"КРАСНОГВАРДЕЙСКИЙ";"Пискаревский пр. от шоссе Революции до Среднеохтинского пр.";"0";"3,1";"3,1";"3278,43"
"КРАСНОГВАРДЕЙСКИЙ";"Красногвардейская пл. от Малоохтинского пр. до Комаровского моста, пересечения с Новочеркасским пр., пр. Шаумяна , Якорной ул., Среднеохтинским пр., Большеохтинским пр.";"24,46";"9,39";"33,85";"48198,06"
"КРАСНОГВАРДЕЙСКИЙ";"ул. Осипенко; пр. Энтузиастов от Индустриального пр. до ул. Осипенко";"0";"4";"4";"6214,24"
"КРАСНОГВАРДЕЙСКИЙ";"Пересечение Хасанской ул. с пр. Наставников и выезд с троллейбусного кольца на Хасанскую ул.";"0,69";"0";"0,69";"4252,81"
"КРАСНОГВАРДЕЙСКИЙ";"пр. Энтузиастов от ул. Передовиков до ул. Коммуны (выборочно)";"36,73";"18";"54,73";"74691,33"
"КРАСНОГВАРДЕЙСКИЙ";"ул. Петра Смородина от Большой Пороховской ул. до Объездного шоссе";"2,2";"1,1";"3,3";"3904,23"
"КРАСНОСЕЛЬСКИЙ";"Петергофское шоссе поворот на ЛЭМЗ";"0,17";"0";"0,17";"399,71"
