Наименование остановки;Официальное наименование;Расположение;Широта;Долгота;Тип объекта;Маршруты
"УЛЬЯНОВКА, РЕЧНАЯ УЛ.";"УЛЬЯНОВКА, РЕЧНАЯ УЛ.";"проспект Володарского, Школьная  ул.";"59,63342964";"30,7632275";"Остановка";"438"
"УЛ. КОСТЮШКО";"";"ул. Галстяна, ул. Костюшко";"59,84141149";"30,3113461";"Остановка";"13,13А,31,150,155,187"
"БЕСТУЖЕВСКАЯ УЛ., 32";"БЕСТУЖЕВСКАЯ УЛ., 32";"Бестужевская улица, Замшина улица";"59,98215948";"30,4129677";"Остановка";"136"
"НАБ. ЧЁРНОЙ РЕЧКИ";"НАБ. ЧЁРНОЙ РЕЧКИ";"наб.Чёрной речки, ул. Сердобольская";"59,98476308";"30,3154907";"Остановка";"25,25А,32,33,46,137"
"КРАСНОГОРОДСКАЯ УЛ.";"КРАСНОГОРОДСКАЯ УЛ.";"Гатчинское шоссе, ул. Красногородская";"59,71760154";"30,080286";"Остановка";"477"
"ЛЕНИНСКИЙ ПР.";"ЛЕНИНСКИЙ ПР.";"ул. Десантников, Ленинский проспект";"59,85591652";"30,2021198";"Временная";"300"
"УЛ. МАРШАЛА ЗАХАРОВА";"УЛ. МАРШАЛА ЗАХАРОВА";"ул. Десантников, ул. Маршала Захарова";"59,85259615";"30,1998653";"Остановка";"300"
"УЛ. РИХАРДА ЗОРГЕ";"УЛ. РИХАРДА ЗОРГЕ";"ул. Десантников, ул. Рихарда Зорге";"59,85001303";"30,1971169";"Временная";"300"
"УЛ. НАХИМОВА, 11";"УЛ. НАХИМОВА, 11";"ул. Нахимова, Наличный переулок";"59,94105215";"30,2234745";"Остановка";"7,7А,42,128,152"
"НОВОЛАДОЖСКАЯ УЛ.";"НОВОЛАДОЖСКАЯ УЛ.";"ул. Ждановская, Новоладожская ул.";"59,96079673";"30,2739735";"Остановка";"135,135А"
""СТ. МЕТРО "ПР.ПРОСВЕЩЕНИЯ"";""СТ. МЕТРО "ПР.ПРОСВЕЩЕНИЯ"";"пр. Энгельса, пр. Просвещения";"60,05219398";"30,3340321";"Остановка";"2М,2МБ"
"5-Я КРАСНОАРМЕЙСКАЯ УЛ.";"5-Я КРАСНОАРМЕЙСКАЯ УЛ.";"Московский пр., Клинский пр.";"59,91356528";"30,3179665";"Остановка";"2М,2МА"
"НАБ. ОБВОДНОГО КНАЛА";"НАБ. ОБВОДНОГО КНАЛА";"Московский пр., Угловой пер.";"59,90943908";"30,3182163";"Остановка";"2М,2МА"
"ПР. КОРОЛЁВА";"ПР. КОРОЛЁВА";"пр. Сизова, пр. Королева";"60,01151844";"30,2753983";"Остановка";"5М,5МА"
"КИЕВСКАЯ УЛ.";"КИЕВСКАЯ УЛ.";"Московский пр., ул. Красуцкого";"59,90215793";"30,3182468";"Остановка";"2М,2МА"
"ТРАМПАРК №1";"ТРАМПАРК №1";"Московский пр., ул. Митрофаньевская малая";"59,89799263";"30,3185825";"Остановка";"2М,2МА"
"ДЕТСКАЯ МУЗЫКАЛЬНАЯ ШКОЛА";"ДЕТСКАЯ МУЗЫКАЛЬНАЯ ШКОЛА";"Московский пр., Детский пер.";"59,89453943";"30,318943";"Остановка";"2М,2МА"
""СТ. МЕТРО "ПЛ. МУЖЕСТВА"";""СТ. МЕТРО "ПЛ. МУЖЕСТВА"";"ул. Политехническая, Мужества пл.";"59,99969055";"30,3651466";"Остановка";"1М,1МА"
""СТ. МЕТРО "ПЛ. МУЖЕСТВА"";""СТ. МЕТРО "ПЛ. МУЖЕСТВА"";"ул. Политехническая, Мужества пл.";"59,99967006";"30,3653316";"Остановка";"1М,1МА"
"УЛ. КАРБЫШЕВА, 10";"УЛ. КАРБЫШЕВА, 10";"улица Карбышева, площадь Мужества";"59,99767215";"30,3621826";"Остановка";"1М,1МА"
""СТ. МЕТРО "ЛЕСНАЯ"";""СТ. МЕТРО "ЛЕСНАЯ"";"Лесной пр., ул. Кантемировская";"59,98538149";"30,3422146";"Остановка";"1М,1МА"
