Наименование остановки;Официальное наименование;Расположение;Широта;Долгота;Тип объекта;Маршруты
"ПОРТОВАЯ УЛ., УГ.ПР.СТАЧЕК (тест)<";"ПОРТОВАЯ УЛ., УГ.ПР.СТАЧЕК";"Дорога в Угольную гавань, Червонного Казачества ул.";"59,86401023";"30,25947";"Остановка";"17"
"УЛ. ДЕСАНТНИКОВ";"УЛ. ДЕСАНТНИКОВ";"Маршала Захарова ул., Десантников ул.";"59,85263045";"30,1988659";"Остановка";"83,16"
"УЛ. МАРШАЛА ЗАХАРОВА,19";"УЛ. МАРШАЛА ЗАХАРОВА,19";"Маршала Захарова ул.";"59,85423236";"30,1918125";"Остановка";"83,16"
"ПР. КУЗНЕЦОВА";"ПР. КУЗНЕЦОВА";"Маршала Захарова ул., Кузнецова пр.";"59,85578618";"30,1848946";"Остановка";"83,16"
"УЛ. ДОБЛЕСТИ, УГ. УЛ. МАРШАЛА ЗАХАРОВА";"УЛ. ДОБЛЕСТИ, УГ. УЛ. МАРШАЛА ЗАХАРОВА";"Маршала Захарова ул., Доблести ул.";"59,8570964";"30,1775246";"Остановка";"83,16"
"ПР. КУЗНЕЦОВА";"ПР. КУЗНЕЦОВА";"Маршала Захарова ул., Кузнецова пр.";"59,85510704";"30,1863117";"Остановка";"83,16"
"УЛ. МАРШАЛА ЗАХАРОВА,19";"УЛ. МАРШАЛА ЗАХАРОВА,19";"Маршала Захарова ул.";"59,85374871";"30,1922684";"Остановка";"83,16"
"СЕВЕРНЫЙ ПР., УГ. СВЕТЛАНОВСКОГО ПР.";"СЕВЕРНЫЙ ПР., УГ. СВЕТЛАНОВСКОГО ПР.";"Северный пр., Светлановский пр.";"60,02640313";"30,3904629";"Остановка";"176"
"УЛ. СОФЬИ КОВАЛЕВСКОЙ, УГ. ПР. НАУКИ";"УЛ. СОФЬИ КОВАЛЕВСКОЙ, УГ. ПР. НАУКИ";"Софьи Ковалевской ул., Науки пр.";"60,01082541";"30,4091778";"Остановка";"176"
"УЛ. СОФЬИ КОВАЛЕВСКОЙ,7";"УЛ. СОФЬИ КОВАЛЕВСКОЙ,7";"Софьи Ковалевской ул.";"60,01455667";"30,41292";"Остановка";"176"
"СЕВЕРНЫЙ ПР.,УГ. УЛ. СОФЬИ КОВАЛЕВСКОЙ";"СЕВЕРНЫЙ ПР.,УГ. УЛ. СОФЬИ КОВАЛЕВСКОЙ";"Северный пр., Софьи Ковалевской ул.";"60,01894967";"30,4176369";"Остановка";"94,176"
"СЕВЕРНЫЙ ПР.,91";"СЕВЕРНЫЙ ПР.,91";"Северный пр., Руставели ул.";"60,01620198";"30,4285164";"Остановка";"94,176"
"УЛ. КАРПИНСКОГО,38";"УЛ. КАРПИНСКОГО,38";"Карпинского ул., Руставели ул.";"60,01241628";"30,4296436";"Остановка";"94,176"
"УЛ. КАРПИНСКОГО,28";"УЛ. КАРПИНСКОГО,28";"Карпинского ул.";"60,00989338";"30,4266415";"Остановка";"94,176"
"ПР. НАУКИ,УГ. УЛ. КАРПИНСКОГО";"ПР. НАУКИ,УГ. УЛ. КАРПИНСКОГО";"ул. Карпинского, Карпинского ул.";"60,00707323";"30,4237499";"Остановка";"61,94,176"
"УЛ. КАРПИНСКОГО,28";"УЛ. КАРПИНСКОГО,28";"ул. Карпинского";"60,00988314";"30,4268703";"Остановка";"61,94,176"
"СЕВЕРНЫЙ ПР.,91";"СЕВЕРНЫЙ ПР.,91";"Северный пр., Руставели ул.";"60,01661501";"30,4282532";"Остановка";"61,94,176"
"Вяземский пер.";"ВЯЗЕМСКИЙ ПЕР.";"Песочная набережная, Вяземский переулок";"59,97583071";"30,2997341";"Остановка";"25,25А,180"
"УЛ. СОФЬИ КОВАЛЕВСКОЙ,7";"УЛ. СОФЬИ КОВАЛЕВСКОЙ,7";"Софьи Ковалевской ул.";"60,01448157";"30,4125042";"Остановка";"61,176"
"УЛ. СОФЬИ КОВАЛЕВСКОЙ,УГ. ПР. НАУКИ";"УЛ. СОФЬИ КОВАЛЕВСКОЙ,УГ. ПР. НАУКИ";"Науки пр., Софьи Ковалевской ул.";"60,01071275";"30,4080544";"Остановка";"61,102,103,153,176,177"
"Б. МОНЕТНАЯ УЛ. (тест)";"Б. МОНЕТНАЯ УЛ.";"Каменноостровский проспект, Большая Монетная улица";"59,96194555";"30,3150368";"Остановка";"2М,2МБ,46,46А,180"
"ТРОИЦКАЯ ПЛ. (тест)";"ТРОИЦКАЯ ПЛ.";"Каменноостровский проспект, Кронверкский проспект";"59,95409796";"30,3225327";"Остановка";"2М,46"
"ЛИТЕЙНЫЙ ПР., УГ. КИРОЧНОЙ УЛ.(тест)";"ЛИТЕЙНЫЙ ПР., УГ. КИРОЧНОЙ УЛ.";"Кирочная ул., Литейный пр.";"59,94396687";"30,3495369";"Остановка";"46"
"ПОС.ДРАНИШНИКИ,4 КМ";"ПОС.ДРАНИШНИКИ,4 КМ";"";"60,12924166";"30,2574558";"Остановка";"433,436,567"
"ПОС.ДРАНИШНИКИ,4 КМ<";"ПОС.ДРАНИШНИКИ,4 КМ";"";"60,12922805";"30,2570286";"Остановка";"433,436,567"
"СМОЛЬНЫЙ";"СМОЛЬНЫЙ";"Суворовский пр., Тверская ул.";"59,94600565";"30,3892975";"Остановка";"46"
"ПОС. ДРАНИШНИКИ, СОВХОЗ № 3";"ПОС. ДРАНИШНИКИ, СОВХОЗ № 3";"";"60,13542544";"30,2584038";"Остановка";"433,436,567"
"ПОС. ДРАНИШНИКИ, СОВХОЗ № 3<";"ПОС. ДРАНИШНИКИ, СОВХОЗ № 3";"";"60,13549347";"30,2580395";"Остановка";"433,436,567"
"6 КМ";"6 КМ";"";"60,14576658";"30,2702274";"Остановка";"433,436,567"
"6 КМ<";"6 КМ";"";"60,14575298";"30,2696953";"Остановка";"433,436,567"
"ПОС. ЛУППОЛОВО";"ПОС. ЛУППОЛОВО";"";"60,15215802";"30,2766781";"Остановка";"433,436,567"
"ПР. БАКУНИНА (тест)";"ПР. БАКУНИНА";"Исполкомская ул., Бакунина пр.";"59,93048929";"30,382906";"Остановка";"55"
"ПОС. ЛУППОЛОВО<";"ПОС. ЛУППОЛОВО";"";"60,15218182";"30,2762012";"Остановка";"433,436,567"
"ХЕРСОНСКАЯ УЛ.";"ХЕРСОНСКАЯ УЛ.";"Исполкомская ул., Херсонская ул.";"59,92857276";"30,3817673";"Остановка";"55"
"ОТДЕЛЕНИЕ СОВХОЗА №3";"ОТДЕЛЕНИЕ СОВХОЗА №3";"";"60,15718531";"30,2919807";"Остановка";"433,436,567"
"ОТДЕЛЕНИЕ СОВХОЗА №3<";"ОТДЕЛЕНИЕ СОВХОЗА №3";"";"60,15731787";"30,2918758";"Остановка";"433,436,567"
"8 КМ";"8 КМ";"";"60,16110056";"30,3053589";"Остановка";"433,436,567"
"8 КМ<";"8 КМ";"";"60,1612331";"30,3053207";"Остановка";"433,436,567"
"ПОС. ВАРТЕМЯГИ, 9 КМ";"ПОС. ВАРТЕМЯГИ, 9 КМ";"";"60,16366629";"30,3141727";"Остановка";"433,436,567"
"ПОС. ВАРТЕМЯГИ, 9 КМ<";"ПОС. ВАРТЕМЯГИ, 9 КМ";"";"60,16362891";"30,3137283";"Остановка";"433,436,567"
"ПОС. ВАРТЕМЯГИ, ПОЧТА";"ПОС. ВАРТЕМЯГИ, ПОЧТА";"";"60,16640511";"30,3168068";"Остановка";"433,436,567"
"ПОС. ВАРТЕМЯГИ, ПОЧТА<";"ПОС. ВАРТЕМЯГИ, ПОЧТА";"";"60,16641531";"30,3163204";"Остановка";"433,436,567"
"ПОС. ВАРТЕМЯГИ,  БОЛЬНИЦА";"ПОС. ВАРТЕМЯГИ,  БОЛЬНИЦА";"";"60,1701324";"30,3193531";"Остановка";"433,436,567"
"ПОС. ВАРТЕМЯГИ, БОЛЬНИЦА<";"ПОС. ВАРТЕМЯГИ, БОЛЬНИЦА";"";"60,17009503";"30,3189087";"Остановка";"433,436,567"
"ПОС. ВАРТЕМЯГИ, СТОЛОВАЯ";"ПОС. ВАРТЕМЯГИ, СТОЛОВАЯ";"";"60,17615904";"30,316185";"Остановка";"433,436,567"
"ПОС. ВАРТЕМЯГИ, СТОЛОВАЯ<";"ПОС. ВАРТЕМЯГИ, СТОЛОВАЯ";"";"60,1760877";"30,3156242";"Остановка";"433,436,567"
"ПР. БАКУНИНА (тест)<";"ПР. БАКУНИНА";"Исполкомская ул., Бакунина пр.";"59,93063645";"30,3834";"Остановка";"55"
""ОТД. ПЛЕМ. 3-ДА "ЛЕСНОЕ", ПО ТРЕБОВАНИЮ"";""ОТД. ПЛЕМ. 3-ДА "ЛЕСНОЕ", ПО ТРЕБОВАНИЮ"";"";"60,18281967";"30,3217716";"Остановка";"433,436,567"
""ОТД. ПЛЕМ. 3-ДА "ЛЕСНОЕ", ПО ТРЕБОВАНИЮ"";""ОТД. ПЛЕМ. 3-ДА "ЛЕСНОЕ", ПО ТРЕБОВАНИЮ"";"";"60,18281967";"30,321207";"Остановка";"433,436,567"
"12 КМ";"12 КМ";"";"60,18557727";"30,3157959";"Остановка";"433,436,567"
"12 КМ<";"12 КМ";"";"60,18552294";"30,3152103";"Остановка";"433,436,567"
"ПОС. КАСИМОВО, 1";"ПОС. КАСИМОВО, 1";"";"60,19355331";"30,3129539";"Остановка";"433,436,567"
"ПОС. КАСИМОВО, 1<";"ПОС. КАСИМОВО, 1";"";"60,19364159";"30,3123283";"Остановка";"433,436,567"
"ПОС. КАСИМОВО, 2";"ПОС. КАСИМОВО, 2";"";"60,19927015";"30,3121109";"Остановка";"433,436,567"
"ПОС. КАСИМОВО, 2<";"ПОС. КАСИМОВО, 2";"";"60,19931768";"30,311554";"Остановка";"433,436,567"
"ПОС. КАСИМОВО, 3";"ПОС. КАСИМОВО, 3";"";"60,20445315";"30,3105869";"Остановка";"433,436,567"
"ПОС. КАСИМОВО, 3<";"ПОС. КАСИМОВО, 3";"";"60,204538";"30,309761";"Остановка";"433,436,567"
"15 КМ";"15 КМ";"";"60,2117833";"30,3036404";"Остановка";"433,436,567"
"15 КМ<";"15 КМ";"";"60,2118817";"30,3028374";"Остановка";"433,436,567"
"ПОС. АГАЛАТОВО, ЖИЛГОРОДОК";"ПОС. АГАЛАТОВО, ЖИЛГОРОДОК";"Приозерское ш.";"60,21805674";"30,2961235";"Остановка";"433,436,567"
"ПОС. АГАЛАТОВО, ЖИЛГОРОДОК<";"ПОС. АГАЛАТОВО, ЖИЛГОРОДОК";"Приозерское ш.";"60,21812459";"30,2953892";"Остановка";"433,436,567"
"ПР. ЧЕРНЫШЕВСКОГО (тест)";"ПР. ЧЕРНЫШЕВСКОГО";"ул. Шпалерная, пр. Чернышевского";"59,94898149";"30,3600197";"Остановка";"46"
"ПОС. АГАЛАТОВО, ДОР. НА СЕРТОЛОВО";"ПОС. АГАЛАТОВО, ДОР. НА СЕРТОЛОВО";"Приозерское ш., H-90";"60,21984457";"30,2889977";"Остановка";"433,436,567"
"ПОС. АГАЛАТОВО, ДОР. НА СЕРТОЛОВО";"ПОС. АГАЛАТОВО, ДОР. НА СЕРТОЛОВО";"Приозерское ш., H-90";"60,21970887";"30,291769";"Остановка";"433,436,567"
"ГАГАРИНСКАЯ УЛ. (тест)";"ГАГАРИНСКАЯ УЛ.";"ул. Шпалерная, Кутузова наб.";"59,94837266";"30,343689";"Остановка";"46"
"УНИВЕРСИТЕТСКИЙ ПР.[тест]<";"УНИВЕРСИТЕТСКИЙ ПР.";"Чичеринская ул., Университетский пр.";"59,87445714";"29,8558197";"Остановка";"210,344,352,356,358,359"
"МЕНЬШИКОВСКИЙ ПР. УГ. ПР. НЕПОКОРЕННЫХ";"МЕНЬШИКОВСКИЙ ПР. УГ. ПР. НЕПОКОРЕННЫХ";"Меншиковский пр., Непокоренных пр.";"59,9917426";"30,4250984";"Остановка";"80"
"НОВОСЕЛЬЕ [129][тест]<";"НОВОСЕЛЬЕ";"Красносельское ш.";"59,80957984";"30,0769501";"Остановка";"129,462"
""СТ. МЕТРО "ТЕХНОЛОГИЧЕСКИЙ ИНСТИТУТ" [Э 39][тест]<"";""СТ. МЕТРО "ТЕХНОЛОГИЧЕСКИЙ ИНСТИТУТ"";"Московский пр., 1-я Красноармейская ул.";"59,9159757";"30,3182087";"Остановка";"2М,2МА"
""ДОРОГА В АЭРОПОРТ "ПУЛКОВО 1" [39][тест]"";""ДОРОГА В АЭРОПОРТ "ПУЛКОВО 1"";"Пулковское ш.";"59,7938038";"30,3240051";"Остановка";"39"
"КРОНШТАДСКАЯ УЛ. [2][тест]<";"КРОНШТАДСКАЯ УЛ.";"Маршала Жукова пр., Кронштадтская ул.";"59,87293848";"30,2540531";"Остановка";"2,111"
"ПР. МАРШАЛА ЖУКОВА, УГ. ЛЕНИНСКОГО ПР.";"ПР. МАРШАЛА ЖУКОВА, УГ. ЛЕНИНСКОГО ПР.";"Ленинский пр., Маршала Жукова пр.";"59,8523526";"30,2199135";"Остановка";"2,2А,26"
"СТАРЫЙ ПЕТЕРГОФ, Ж.-Д. СТ, [тест]<";"СТАРЫЙ ПЕТЕРГОФ, Ж.-Д. СТ,";"ул. Халтурина, ул. Суворовская";"59,88054822";"29,8634014";"Остановка";"351"
"ДОРОГА НА ПЕТРО-СЛАВЯНКУ";"ДОРОГА НА ПЕТРО-СЛАВЯНКУ";"Центральный проезд, На Металлострой дор.";"59,79692044";"30,5588264";"Остановка";"115,335,337"
"ДОРОГА НА ПЕТРО-СЛАВЯНКУ";"ДОРОГА НА ПЕТРО-СЛАВЯНКУ";"Центральный проезд, На Металлострой дор.";"59,79682766";"30,5591583";"Остановка";"115,335,337"
"СОЛОМАХИНСКИЙ ПРОЕЗД";"СОЛОМАХИНСКИЙ ПРОЕЗД";"Ленинский пр., Соломахинский проезд";"59,85175915";"30,2478409";"Остановка";"26,142"
"ПОС. МЕТАЛЛОСТРОЙ";"ПОС. МЕТАЛЛОСТРОЙ";"Центральная улица, Центральная ул.";"59,80919171";"30,5735703";"Остановка";"115,335,335А,337,337А"
"УЛ. ГЕРОЕВ [142A][тест]";"УЛ. ГЕРОЕВ";"";"59,85782352";"30,16539";"Остановка";"2А"
""СТ. МЕТРО "ПАРК ПОБЕДЫ"[тест]"";""СТ. МЕТРО "ПАРК ПОБЕДЫ"";"Бассейная ул., Московский пр.";"59,86499095";"30,3231239";"Остановка";"63,72"
""СТ. МЕТРО "ПАРК ПОБЕДЫ"[тест]<"";""СТ. МЕТРО "ПАРК ПОБЕДЫ"";"Бассейная ул., Московский пр.";"59,86472691";"30,3221359";"Остановка";"16,63,72"
"УЛ. ЗИНЫ ПОРТНОВОЙ, УГ. ЛЕНИНСКОГО ПРОСПЕКТА[18, 73, 145][тест]<";"УЛ. ЗИНЫ ПОРТНОВОЙ, УГ. ЛЕНИНСКОГО ПРОСПЕКТА";"Зины Портновой ул., Ленинский пр.";"59,85242463";"30,2563686";"Остановка";"1М,1МБ,18,73,145,145А"
"УЛ. ПАРТИЗАНА ГЕРМАНА, УГ.УЛ.ЧЕКИСТОВХ[165][тест]<";"УЛ. ПАРТИЗАНА ГЕРМАНА, УГ.УЛ.ЧЕКИСТОВХ";"ул. Чекистов, ул. Партизана Германа";"59,84260218";"30,1733475";"Остановка";"165"
"УЛ. ВОССТАНОВЛЕНИЯ[145, 165, 547][тест]";"УЛ. ВОССТАНОВЛЕНИЯ";"Кингисеппское ш., Лермонтова ул.";"59,72352505";"30,0760784";"Остановка";"145,165,547"
"УЛ. ВОССТАНОВЛЕНИЯ[145, 165, 547][тест]<";"УЛ. ВОССТАНОВЛЕНИЯ";"Кингисеппское ш., Восстановления ул.";"59,72364213";"30,07724";"Остановка";"144,145,165,547"
"УЛ. БРЯНЦЕВА [93, 102, 103, 153, 40][тест]";"УЛ. БРЯНЦЕВА";"Тимуровская ул., Брянцева ул.";"60,04312974";"30,4089108";"Остановка";"93,176"
"УЛ. МАРШАЛА ЗАХАРОВА [2][тест]<";"УЛ. МАРШАЛА ЗАХАРОВА";"Доблести ул., Маршала Захарова ул.";"59,85701751";"30,1758919";"Остановка";"2,2А,142,160"
"БРЕСТСКИЙ БУЛЬВАР [2][тест]<";"БРЕСТСКИЙ БУЛЬВАР";"Ленинский пр., Брестский бул.";"59,85710326";"30,1989689";"Остановка";"2,2А"
"УЛ. ЧЕКИСТОВ [165][тест]";"УЛ. ЧЕКИСТОВ";"ул. Тамбасова";"59,8441634";"30,1606884";"Остановка";"165"
"УЛ. ЧЕКИСТОВ [165][тест]<";"УЛ. ЧЕКИСТОВ";"ул. Тамбасова";"59,84430065";"30,1608582";"Остановка";"165"
"ВАРШАВСКАЯ УЛ.,73 [13, 13A]";"ВАРШАВСКАЯ УЛ.,73";"ул. Варшавская, ул. Краснопутиловская";"59,8438443";"30,315361";"Остановка";"13,13А,31,150,155,187"
"ВАРШАВСКАЯ УЛ.,73 [13, 13A]<";"ВАРШАВСКАЯ УЛ.,73";"Варшавская ул., Краснопутиловская ул.";"59,84404331";"30,3138962";"Остановка";"13,13А,31,150,155,187"
"БУЛЬВАР СВОБОДЫ";"БУЛЬВАР СВОБОДЫ";"бул. Свободы, набережная Комсомольского канала";"59,74733938";"30,5993156";"Остановка";"192,325,327,332,336,337,337А,366,367,368,386,389,390,394,475"
"УЛ. ТРУДА,УЛ. УРИЦКОГО";"УЛ. ТРУДА,УЛ. УРИЦКОГО";"улица Урицкого, Труда ул.";"59,75003713";"30,6028748";"Остановка";"327,332,336,337,337А,387,389,475"
"САПЕРНЫЙ ПЕР.";"САПЕРНЫЙ ПЕР.";"ул. Загородная, Сапёрный переулок";"59,76051293";"30,5984001";"Остановка";"327,332,336,337,337А,387,389"
"ДЕРЕВООБРАБАТЫВАЮЩИЙ КОМБИНАТ";"ДЕРЕВООБРАБАТЫВАЮЩИЙ КОМБИНАТ";"Загородная улица, Механическая улица";"59,76578915";"30,5966244";"Остановка";"327,332,336,337,337А,387,389"
"ДОРОГА К КИРПИЧНОМУ ЗАВОДУ";"ДОРОГА К КИРПИЧНОМУ ЗАВОДУ";"Загородная улица, Балканская дорога";"59,77012232";"30,593998";"Остановка";"327,332,336,337,337А,387,389"
